short_x,short_y,match_x,match_y,2_x,2_y,3_x,3_y,4_x,4_y,x0005,y0005
1162.,1512.,,,,,,,,,,
1163.,1519.,,,,,,,,,,
1164.,1522.,,,,,,,,,,
1165.,1528.,,,,,,,,,,
1166.,1532.,,,,,,,,,,
1167.,1537.,,,,,,,,,,
1168.,1546.,,,,,,,,,,
1169.,1558.,,,,,,,,,,
1170.,1569.,,,,,,,,,,
1171.,1575.,,,,,,,,,,
1172.,1585.,,,,,,,,,,
1173.,1595.,,,,,,,,,,
1174.,1607.,,,,,,,,,,
1175.,1621.,,,,,,,,,,
1176.,1628.,,,,,,,,,,
1177.,1636.,,,,,,,,,,
1178.,1639.,,,,,,,,,,
1179.,1646.,,,,,,,,,,
1180.,1652.,,,,,,,,,,
1181.,1656.,,,,,,,,,,
1182.,1665.,,,,,,,,,,
1183.,1675.,,,,,,,,,,
1184.,1687.,,,,,,,,,,
1185.,1694.,,,,,,,,,,
1186.,1700.,,,,,,,,,,
1187.,1708.,,,,,,,,,,
1188.,1716.,,,,,,,,,,
1189.,1722.,,,,,,,,,,
1190.,1732.,,,,,,,,,,
1191.,1742.,,,,,,,,,,
1192.,1747.,,,,,,,,,,
1193.,1758.,,,,,,,,,,
1194.,1761.,,,,,,,,,,
1195.,1767.,,,,,,,,,,
1196.,1772.,,,,,,,,,,
1197.,1776.,,,,,,,,,,
1198.,1780.,,,,,,,,,,
1199.,1783.,,,,,,,,,,
1200.,1786.,,,,,,,,,,
1201.,1792.,,,,,,,,,,
1202.,1796.,,,,,,,,,,
1203.,1798.,,,,,,,,,,
1204.,1810.,,,,,,,,,,
1205.,1820.,,,,,,,,,,
1206.,1826.,,,,,,,,,,
1207.,1830.,,,,,,,,,,
1208.,1835.,,,,,,,,,,
1209.,1841.,,,,,,,,,,
1210.,1848.,,,,,,,,,,
1211.,1853.,,,,,,,,,,
1212.,1857.,,,,,,,,,,
1213.,1867.,,,,,,,,,,
1214.,1874.,,,,,,,,,,
1215.,1882.,,,,,,,,,,
1216.,1885.,,,,,,,,,,
1217.,1890.,,,,,,,,,,
1218.,1893.,,,,,,,,,,
1219.,1899.,,,,,,,,,,
1220.,1900.,,,,,,,,,,
1221.,1904.,,,,,,,,,,
1222.,1908.,,,,,,,,,,
1223.,1911.,,,,,,,,,,
1224.,1919.,,,,,,,,,,
1225.,1918.,,,,,,,,,,
1226.,1925.,,,,,,,,,,
1227.,1927.,,,,,,,,,,
1228.,1934.,,,,,,,,,,
1229.,1939.,,,,,,,,,,
1230.,1948.,,,,,,,,,,
1231.,1950.,,,,,,,,,,
1232.,1950.,,,,,,,,,,
1233.,1952.,,,,,,,,,,
1234.,1957.,,,,,,,,,,
1235.,1956.,,,,,,,,,,
1236.,1962.,,,,,,,,,,
1237.,1965.,,,,,,,,,,
1238.,1966.,,,,,,,,,,
1239.,1965.,,,,,,,,,,
1240.,1966.,,,,,,,,,,
1241.,1968.,,,,,,,,,,
1242.,1973.,,,,,,,,,,
1243.,1975.,,,,,,,,,,
1244.,1983.,,,,,,,,,,
1245.,1983.,,,,,,,,,,
1246.,1982.,,,,,,,,,,
1247.,1988.,,,,,,,,,,
1248.,1991.,,,,,,,,,,
1249.,1994.,,,,,,,,,,
1250.,1995.,,,,,,,,,,
1251.,1996.,,,,,,,,,,
1252.,2001.,,,,,,,,,,
1253.,1999.,,,,,,,,,,
1254.,1999.,,,,,,,,,,
1255.,2001.,,,,,,,,,,
1256.,2003.,,,,,,,,,,
1257.,1999.,,,,,,,,,,
